연도,시도,학제,위험도_pct,위험도_점수
2022,울산,중,5.315162099588317,23.67
2023,울산,중,5.595571008855918,25.21
2024,울산,중,5.910491192982821,26.93
2012,인천,고,2.1187391560132594,6.13
2013,인천,고,2.3349374478883784,7.31
2014,인천,고,2.707691180750293,9.36
2015,인천,고,3.634764294299393,14.45
2016,인천,고,3.9466529630946177,16.16
2017,인천,고,4.678617799299843,20.18
2018,인천,고,6.029993773704758,27.59
2019,인천,고,7.8670021109026695,37.67
2020,인천,고,9.181182238599185,44.88
2021,인천,고,10.399673455803613,51.57
2022,인천,고,13.05439178681885,66.13
2023,인천,고,15.540681625612562,79.78
2024,인천,고,19.22700423754409,100.0
2012,인천,중,2.6396648516227526,8.99
2013,인천,중,2.9516689357984096,10.7
2014,인천,중,3.2883555096208106,12.54
2015,인천,중,3.5416093454003152,13.94
2016,인천,중,4.030783717689946,16.62
2017,인천,중,4.407285618533178,18.68
2018,인천,중,5.161515344449363,22.83
2019,인천,중,6.136348173927196,28.17
2020,인천,중,7.440059365767895,35.33
2021,인천,중,8.040853523722575,38.62
2022,인천,중,9.363067416644048,45.88
2023,인천,중,11.018417739275652,54.96
2024,인천,중,12.654323721499601,63.93
2012,전남,고,1.9408555599024386,5.15
2013,전남,고,3.23579266727965,12.26
2014,전남,고,2.5485810580180046,8.49
2015,전남,고,3.2658613990984735,12.42
2016,전남,고,4.164569302708323,17.36
2017,전남,고,4.741065394011679,20.52
2018,전남,고,6.211793625331474,28.59
2019,전남,고,6.59275736669437,30.68
2020,전남,고,6.97250152678739,32.76
2021,전남,고,7.307961332413502,34.6
2022,전남,고,8.281808369385914,39.95
2023,전남,고,9.571499164054423,47.02
2024,전남,고,12.399248217777409,62.53
2012,전남,중,3.4155070228526805,13.25
2013,전남,중,4.286587457576089,18.02
2014,전남,중,4.119436474334391,17.1
2015,전남,중,4.443335504257819,18.88
2016,전남,중,5.055574432365729,22.24
2017,전남,중,5.552033539160257,24.97
2018,전남,중,6.128167098191064,28.13
2019,전남,중,6.5482210948385395,30.43
2020,전남,중,7.276697838699973,34.43
2021,전남,중,7.915351481672722,37.93
2022,전남,중,8.541961988620363,41.37
2023,전남,중,9.08845452560448,44.37
2024,전남,중,9.685840846931058,47.65
2012,전북,고,1.309015517964084,1.68
2013,전북,고,2.8087785380013406,9.91
2014,전북,고,2.5576542600065078,8.54
2015,전북,고,3.383688276470476,13.07
2016,전북,고,3.3630344759793123,12.95
2017,전북,고,3.466511687771783,13.53
2018,전북,고,4.457599731884793,18.96
2019,전북,고,5.323545836810044,23.71
2020,전북,고,5.671372063324534,25.62
2021,전북,고,6.539546400143397,30.39
