연도,시도,총학생수,총학급수,특수학급수,학급당_학생수,특수학급_비율,총학업중단자,총학생수_기준,학업중단률,학업중단률_중,학업중단률_고,자퇴_합계,전출_합계,전입_합계,순전출,다문화학생_합계,중도입국_합계,해외출국_합계,학생1인당_교지면적_평균,학생1인당_건물면적_평균,다문화학생_비율,중도입국_비율,해외출국_비율,자퇴_비율,proxy_index,GRDP_1인당,사교육_참여율,사교육_참여율_초,사교육_참여율_중,사교육_참여율_고,사교육비_1인당_만원,교원1인당_학생수,미달률_고_실측,미달률_중_실측,미달률_평균_실측,전국_미달률_중,전국_미달률_고,전국_미달률_평균,proxy_index_old,proxy_index_source,proxy_risk_pct,proxy_risk_score,proxy_index_v3,학력향상_원,누리과정_원,다문화이탈주민_원,돌봄교실_원,세출액,학력향상_세출비중,학력향상_억원,누리과정_세출비중,누리과정_억원,다문화이탈주민_세출비중,다문화이탈주민_억원,돌봄교실_세출비중,돌봄교실_억원,학력향상_학생당_천원,누리과정_학생당_천원,다문화이탈주민_학생당_천원,돌봄교실_학생당_천원
2012,경남,459039,16848,645,27.25,3.828,3787.0,477086.0,0.794,0.6,1.8,0,20265,19737,528,3067,154,876,32.678961621329364,13.36385188986656,0.668,0.0335,0.1908,0.0,10.16,30124.0,68.6,82.2,70.3,45.4,21.2,17.53,2.4,2.0,2.2,,,,40.87,위험도합성지수(Ridge),1.667,10.16,2.2,,,,,,,,,,,,,,,,,
2013,경남,442189,16794,658,26.33,3.918,3389.0,459039.0,0.738,0.6,1.6,2005,16445,15586,859,3610,157,893,34.463943795299734,14.068998719059332,0.816,0.0355,0.2019,0.4534,17.25,30416.0,67.3,83.8,66.5,43.5,20.8,16.87,3.033333333333333,3.1,3.0666666666666664,,,,53.11,위험도합성지수(Ridge),2.25,17.25,3.067,9489146810.0,,,,3920160000000.0,0.24206019167584994,94.8914681,,,,,,,21.459481827906167,,,
2014,경남,429226,16640,703,25.79,4.225,2898.0,442189.0,0.655,0.5,1.3,1593,15407,14911,496,4753,165,833,35.67987235581116,14.692287474857288,1.107,0.0384,0.1941,0.3711,18.28,30555.0,67.1,82.8,65.8,44.5,20.3,16.43,3.5166666666666666,3.5166666666666666,3.5166666666666666,,,,41.68,위험도합성지수(Ridge),2.335,18.28,3.517,3120187140.0,,,,4222280000000.0,0.0738981578673134,31.2018714,,,,,,,7.269333963925764,,,
2015,경남,415891,16465,663,25.26,4.027,2379.0,429226.0,0.554,0.4,1.1,1344,15417,14941,476,6390,217,675,37.33347747899132,15.544964936255552,1.536,0.0522,0.1623,0.3232,21.88,32007.0,66.9,80.7,65.9,46.4,20.4,15.98,4.0,3.9333333333333336,3.966666666666667,3.533333333333333,4.166666666666667,3.85,31.34,위험도합성지수(Ridge),2.631,21.88,3.967,1877308320.0,,,,4099010000000.0,0.04579906660388728,18.7730832,,,,,,,4.513943124520607,,,
2016,경남,402301,16335,659,24.63,4.034,2246.0,415891.0,0.54,0.4,1.1,1260,16175,15678,497,7738,324,650,38.75062579995354,16.440025622406182,1.923,0.0805,0.1616,0.3132,28.95,32758.0,65.2,78.4,60.0,49.0,20.9,15.46,5.033333333333334,3.4333333333333336,4.233333333333334,3.633333333333333,4.533333333333333,4.083333333333333,32.5,위험도합성지수(Ridge),3.213,28.95,4.233,3102064110.0,,,,4449990000000.0,0.06970946249317414,31.0206411,,,,,,,7.7108038757050075,,,
2017,경남,392080,16347,638,23.98,3.903,2263.0,402301.0,0.563,0.3,1.3,1397,13422,12234,1188,8455,376,483,40.17322495948592,17.23974603894844,2.156,0.0959,0.1232,0.3563,34.6,32789.0,70.0,84.5,63.5,51.1,22.1,15.03,,,,4.3,6.333333333333333,5.316666666666666,28.33,위험도합성지수(Ridge),3.678,34.6,5.495,3343370770.0,,,,4827520000000.0,0.0692564871818242,33.4337077,,,,,,,8.527266807794327,,,
2018,경남,384328,16591,731,23.16,4.406,2361.0,392080.0,0.602,0.4,1.3,1394,13478,13890,-412,9459,342,450,41.35039290110827,17.965081366004302,2.461,0.089,0.1171,0.3627,37.01,32993.0,70.3,81.9,64.7,53.8,22.6,14.62,,,,6.933333333333334,6.666666666666667,6.800000000000001,28.47,위험도합성지수(Ridge),3.876,37.01,7.029,3498965970.0,,,,5308400000000.0,0.06591375875970161,34.9896597,,,,,,,9.104114116067525,,,
2019,경남,377123,16640,741,22.66,4.453,2305.0,384328.0,0.6,0.4,1.3,1295,12331,12158,173,10681,407,422,42.68526716613644,18.8775205088392,2.832,0.1079,0.1119,0.3434,43.3,34040.0,72.0,80.9,69.8,55.7,24.8,14.24,,,,6.4,5.533333333333334,5.966666666666667,26.07,위험도합성지수(Ridge),4.394,43.3,6.167,3171531520.0,,,,6039240000000.0,0.05251540789900717,31.7153152,,,,,,,8.409806667851074,,,
2020,경남,371039,16778,808,22.11,4.816,2299.0,377123.0,0.61,0.5,1.4,1264,13205,12623,582,11448,459,412,43.524370515807966,19.55711064640402,3.085,0.1237,0.111,0.3407,47.34,33186.0,64.8,68.5,64.5,57.2,24.1,13.71,,,,8.966666666666667,9.633333333333333,9.3,37.15,위험도합성지수(Ridge),4.726,47.34,9.613,4842211390.0,,,,5926850000000.0,0.08169957717843374,48.4221139,,,,,,,13.050410846299176,,,
2021,경남,370341,16662,829,22.23,4.975,1559.0,371039.0,0.42,0.3,1.0,900,14715,13999,716,12311,470,141,43.70021551668113,19.8402397138916,3.324,0.1269,0.0381,0.243,46.83,34046.0,72.7,80.2,67.4,62.3,27.6,13.46,,,,7.833333333333333,10.366666666666664,9.1,11.83,위험도합성지수(Ridge),4.684,46.83,9.406,25507839880.0,,,,6065220000000.0,0.4205591863114611,255.0783988,,,,,,,68.8766295927267,,,
