연도,시도,총학생수,총학급수,특수학급수,학급당_학생수,특수학급_비율,총학업중단자,총학생수_기준,학업중단률,학업중단률_중,학업중단률_고,자퇴_합계,전출_합계,전입_합계,순전출,다문화학생_합계,중도입국_합계,해외출국_합계,학생1인당_교지면적_평균,학생1인당_건물면적_평균,다문화학생_비율,중도입국_비율,해외출국_비율,자퇴_비율,proxy_index,GRDP_1인당,사교육_참여율,사교육_참여율_초,사교육_참여율_중,사교육_참여율_고,사교육비_1인당_만원,교원1인당_학생수,미달률_고_실측,미달률_중_실측,미달률_평균_실측,전국_미달률_중,전국_미달률_고,전국_미달률_평균,proxy_index_old,proxy_index_source,proxy_risk_pct,proxy_risk_score,proxy_index_v3,학력향상_억원,학력향상_세출비중,세출액,학력향상_학생당_천원
2013,대구,334369,11941,376,28.0,3.149,2683.0,351183.0,0.764,0.6,1.5,1579,11717,11930,-213,1423,130,693,21.20351082404172,12.693653920089265,0.426,0.0389,0.2073,0.4722,15.78,18946.0,71.9,81.8,74.8,56.3,24.2,18.51,1.6666666666666667,2.233333333333333,1.95,,,,48.06,위험도합성지수(Ridge),2.129,15.78,1.95,45.4984056,0.18520206293834385,2456690000000.0,13.607243972975965
2014,대구,319972,11863,384,26.97,3.237,2379.0,334369.0,0.711,0.5,1.4,1379,11178,11410,-232,1784,130,696,21.76447994746,13.378068113729846,0.558,0.0406,0.2175,0.431,16.75,19725.0,70.3,80.3,71.3,56.0,24.2,17.83,1.4333333333333331,1.983333333333333,1.708333333333333,,,,38.83,위험도합성지수(Ridge),2.209,16.75,1.708,37.2588822,0.13870995942072148,2686100000000.0,11.644419574212742
2015,대구,305764,11714,392,26.1,3.346,1950.0,319972.0,0.609,0.4,1.2,1108,10042,10265,-223,2450,165,613,22.654380573810474,14.178310298624,0.801,0.054,0.2005,0.3624,18.75,20991.0,71.3,82.0,71.4,56.5,24.4,17.2,1.2,1.7333333333333332,1.4666666666666666,3.533333333333333,4.166666666666667,3.85,26.84,위험도합성지수(Ridge),2.374,18.75,1.467,28.8761046,0.11039912142865335,2615610000000.0,9.44391903559608
2016,대구,291370,11395,403,25.57,3.537,1750.0,305764.0,0.572,0.4,1.2,1026,10024,9477,547,2951,221,535,24.01139317046156,15.28679927414254,1.013,0.0758,0.1836,0.3521,23.66,21602.0,68.9,83.8,63.2,53.0,26.5,16.62,1.1,1.2,1.15,3.633333333333333,4.533333333333333,4.083333333333333,30.44,위험도합성지수(Ridge),2.778,23.66,1.15,27.4071349,0.09670557958843787,2834080000000.0,9.406299516079212
2017,대구,280265,11230,406,24.96,3.615,1994.0,291370.0,0.684,0.4,1.4,1168,11192,11448,-256,3405,240,538,25.38329807296253,16.318993989704694,1.215,0.0856,0.192,0.4167,31.06,22310.0,74.0,85.1,71.9,59.6,30.0,16.18,,,,4.3,6.333333333333333,5.316666666666666,27.53,위험도합성지수(Ridge),3.387,31.06,1.754,34.9450234,0.11383559538468555,3069780000000.0,12.468564893939662
2018,대구,269570,11079,409,24.33,3.692,1948.0,280265.0,0.695,0.4,1.3,1082,9161,9422,-261,3890,243,563,26.902602720993897,17.325227606498938,1.443,0.0901,0.2089,0.4014,35.22,23151.0,73.7,83.0,73.4,59.3,30.3,15.39,,,,6.933333333333334,6.666666666666667,6.800000000000001,22.63,위험도합성지수(Ridge),3.729,35.22,2.243,38.4739574,0.11320531218737127,3398600000000.0,14.272343880995662
2019,대구,259606,10932,419,23.75,3.833,1936.0,269570.0,0.718,0.5,1.4,1039,8487,8122,365,4413,289,524,28.33453890035184,18.384618358753983,1.7,0.1113,0.2018,0.4002,41.6,23883.0,75.5,84.3,73.5,61.5,32.9,14.99,,,,6.4,5.533333333333334,5.966666666666667,24.89,위험도합성지수(Ridge),4.254,41.6,1.968,51.4797334,0.14187411886290666,3628550000000.0,19.829947458841474
2020,대구,250957,10846,423,23.14,3.9,1933.0,259606.0,0.745,0.6,1.5,998,8297,7840,457,4736,306,526,29.264341314125303,19.126461922788703,1.887,0.1219,0.2096,0.3977,42.99,23910.0,65.9,67.9,65.8,62.1,29.0,14.86,,,,8.966666666666667,9.633333333333333,9.3,37.9,위험도합성지수(Ridge),4.368,42.99,3.067,77.7966902,0.21681499765896728,3588160000000.0,31.00000804918771
2021,대구,247137,10768,425,22.95,3.947,1211.0,250957.0,0.483,0.3,1.1,698,9399,8763,636,5133,301,183,30.090070015523377,19.863563852202,2.077,0.1218,0.074,0.2824,42.54,25543.0,79.1,87.1,77.0,65.7,40.0,14.5,,,,7.833333333333333,10.366666666666664,9.1,0.0,위험도합성지수(Ridge),4.331,42.54,3.001,267.8304609,0.6852162122956482,3908700000000.0,108.37327510651987
2022,대구,242833,10777,427,22.53,3.962,1630.0,247137.0,0.66,0.3,1.5,914,8685,8526,159,5535,295,266,31.019829091420583,20.59533688629357,2.279,0.1215,0.1095,0.3764,49.61,26736.0,79.9,87.1,78.1,67.2,43.7,14.18,,,,11.1,10.766666666666666,10.933333333333334,7.38,위험도합성지수(Ridge),4.913,49.61,3.606,262.67204,0.7055510693617566,3722934475000.0,108.16982864767144
2023,대구,240221,10704,421,22.44,3.933,1875.0,242833.0,0.772,0.5,1.8,1073,7623,7786,-163,5740,327,329,31.223227151122824,20.75558749444896,2.389,0.1361,0.137,0.4467,56.04,26736.0,80.2,87.0,78.8,67.9,45.9,13.96,,,,9.366666666666667,11.300000000000002,10.333333333333336,20.93,위험도합성지수(Ridge),5.442,56.04,3.408,474.02285,1.0792289214856963,4392236351000.0,197.3278148038681
2024,대구,237973,10472,433,22.72,4.135,1940.0,240221.0,0.808,0.5,2.0,1165,8175,8914,-739,6192,350,336,32.12010885325008,21.12700255314892,2.602,0.1471,0.1412,0.4896,61.16,26736.0,81.8,87.9,81.2,70.5,47.8,13.86,,,,9.999999999999998,9.466666666666669,9.733333333333333,26.94,위험도합성지수(Ridge),5.863,61.16,3.21,316.68286,0.7752201130276629,4085070223000.0,133.07512196761817
2013,대전,216207,7712,258,28.04,3.345,2554.0,223759.0,1.141,1.0,2.1,1252,10238,10058,180,1143,90,991,22.84575169470124,13.158657715449705,0.529,0.0416,0.4584,0.5791,24.68,21793.0,72.7,86.1,72.1,53.5,25.9,20.09,1.6666666666666667,2.933333333333333,2.3,,,,83.28,위험도합성지수(Ridge),2.862,24.68,2.3,35.24697,0.2215452934077538,1590960000000.0,16.302418515589224
2014,대전,209373,7634,262,27.43,3.432,2279.0,216207.0,1.054,0.9,1.6,950,8932,8500,432,1378,98,900,23.67664574922636,13.848547263178778,0.658,0.0468,0.4299,0.4537,24.14,22497.0,70.5,83.1,70.0,51.9,25.7,19.39,1.7000000000000002,2.8,2.25,,,,67.19,위험도합성지수(Ridge),2.817,24.14,2.25,39.5887062,0.23484049544125235,1685770000000.0,18.908219397916632
2015,대전,200277,7603,274,26.34,3.604,1931.0,209373.0,0.922,0.8,1.3,721,10258,9078,1180,1667,104,771,24.83889650319509,14.734687963151892,0.832,0.0519,0.385,0.36,22.72,24094.0,70.2,82.5,69.0,52.5,25.4,18.9,1.7333333333333334,2.6666666666666665,2.2,3.533333333333333,4.166666666666667,3.85,52.11,위험도합성지수(Ridge),2.7,22.72,2.2,34.4650466,0.20776219113010663,1658870000000.0,17.208689265367465
2016,대전,190672,7476,280,25.5,3.745,1580.0,200277.0,0.789,0.6,1.3,694,9592,6908,2684,2011,112,662,26.191392061762183,15.678021659554702,1.055,0.0587,0.3472,0.364,23.77,25606.0,68.8,82.6,65.7,50.8,25.7,18.24,1.8,2.4,2.1,3.633333333333333,4.533333333333333,4.083333333333333,45.35,위험도합성지수(Ridge),2.787,23.77,2.1,32.265325,0.18690992034757423,1726250000000.0,16.921899911890574
2017,대전,182971,7342,275,24.92,3.746,1657.0,190672.0,0.869,0.7,1.3,692,7163,5880,1283,2254,122,582,27.549784213334544,16.46668885850569,1.232,0.0667,0.3181,0.3782,29.17,26533.0,72.7,84.7,66.6,59.0,27.6,17.36,,,,4.3,6.333333333333333,5.316666666666666,37.72,위험도합성지수(Ridge),3.231,29.17,2.882,51.9213827,0.2718268914030229,1910090000000.0,28.37683714905641
2018,대전,175460,7333,301,23.93,4.105,1592.0,182971.0,0.87,0.6,1.4,698,8249,6244,2005,2564,123,541,29.16014523590045,17.42327664359094,1.461,0.0701,0.3083,0.3978,32.12,27214.0,73.8,84.6,68.6,60.2,27.0,16.7,,,,6.933333333333334,6.666666666666667,6.800000000000001,34.03,위험도합성지수(Ridge),3.474,32.12,3.686,56.6860834,0.2750790180131216,2060720000000.0,32.30712606861963
2019,대전,168370,7304,309,23.05,4.231,1632.0,175460.0,0.93,0.7,1.6,749,7010,5306,1704,2858,152,594,30.75532833308507,18.52442322775507,1.697,0.0903,0.3528,0.4449,40.34,28561.0,74.5,83.8,68.7,62.5,31.1,16.29,,,,6.4,5.533333333333334,5.966666666666667,39.27,위험도합성지수(Ridge),4.15,40.34,3.234,67.662086,0.2921607223047428,2315920000000.0,40.18654510898616
2020,대전,162989,7274,315,22.41,4.33,1597.0,168370.0,0.949,0.7,1.7,728,6520,5383,1137,3031,159,468,31.54823631301583,19.34462781419204,1.86,0.0976,0.2871,0.4467,41.09,29757.0,68.2,71.4,67.8,62.5,30.2,15.81,,,,8.966666666666667,9.633333333333333,9.3,44.88,위험도합성지수(Ridge),4.212,41.09,5.041,57.1655274,0.24361521126760566,2346550000000.0,35.07324261146458
2021,대전,159882,7261,324,22.02,4.462,980.0,162989.0,0.601,0.5,1.2,500,6497,5521,976,3302,171,211,31.99087791062294,19.800824128766283,2.065,0.107,0.132,0.3127,38.0,31590.0,75.6,83.0,71.1,66.2,36.4,15.31,,,,7.833333333333333,10.366666666666664,9.1,13.33,위험도합성지수(Ridge),3.958,38.0,4.932,91.6366145,0.36528549247995923,2508630000000.0,57.31515398856657
2022,대전,156416,7330,324,21.34,4.42,1191.0,159882.0,0.745,0.5,1.5,604,5519,4579,940,3424,172,297,33.02829387239152,20.64501779346241,2.189,0.11,0.1899,0.3861,44.36,33682.0,77.7,86.8,75.0,62.8,38.9,14.87,,,,11.1,10.766666666666666,10.933333333333334,18.41,위험도합성지수(Ridge),4.481,44.36,5.926,96.00694,0.38173943001080574,2514986204000.0,61.37923230360066
2023,대전,152932,7236,327,21.13,4.519,1498.0,156416.0,0.958,0.7,1.9,747,5819,5356,463,3724,190,340,33.6845398188803,21.17057423323577,2.435,0.1242,0.2223,0.4885,53.31,33682.0,77.9,86.0,73.1,67.3,41.0,14.72,,,,9.366666666666667,11.300000000000002,10.333333333333336,35.02,위험도합성지수(Ridge),5.217,53.31,5.601,104.9889,0.3426592049964728,3063945123000.0,68.6507075039887
2024,대전,149590,7125,343,21.0,4.814,1570.0,152932.0,1.027,0.7,2.0,775,5286,4908,378,3838,221,401,34.18013485802708,21.5739393872621,2.566,0.1477,0.2681,0.5181,60.79,33682.0,78.6,85.9,77.3,66.8,45.7,14.6,,,,9.999999999999998,9.466666666666669,9.733333333333333,41.88,위험도합성지수(Ridge),5.833,60.79,5.276,28.72056,0.10610164012803236,2706891238000.0,19.199518684404037
2013,부산,393335,14680,532,26.79,3.624,4011.0,413989.0,0.969,0.9,1.9,2251,15961,16080,-119,2462,255,914,22.852504902547352,14.429551280972182,0.626,0.0648,0.2324,0.5723,20.84,21217.0,67.3,76.3,70.9,52.1,22.9,19.58,1.6333333333333335,2.6,2.1166666666666667,,,,81.33,위험도합성지수(Ridge),2.546,20.84,2.117,55.5084099,0.16838129673389776,3296590000000.0,14.112247804034729
2014,부산,375462,14563,537,25.78,3.687,3518.0,393335.0,0.894,0.8,1.6,1826,15486,15510,-24,2770,272,921,23.92862520932647,15.324730437402245,0.738,0.0724,0.2453,0.4863,21.65,22467.0,65.8,74.3,69.6,50.9,22.7,18.92,1.8833333333333333,2.533333333333333,2.208333333333333,,,,68.2,위험도합성지수(Ridge),2.612,21.65,2.208,108.1822656,0.3186583098915147,3394930000000.0,28.81310641289931
2015,부산,359076,14391,540,24.95,3.752,2926.0,375462.0,0.779,0.6,1.4,1483,13926,14057,-131,3394,335,930,25.415722478415336,16.325308394432614,0.945,0.0933,0.259,0.413,24.78,23956.0,67.8,77.2,70.3,52.6,23.4,18.48,2.1333333333333333,2.4666666666666663,2.3,3.533333333333333,4.166666666666667,3.85,53.37,위험도합성지수(Ridge),2.87,24.78,2.3,100.0308339,0.2888067984374594,3463590000000.0,27.85784455101427
2016,부산,343650,13963,532,24.61,3.81,2644.0,359076.0,0.736,0.6,1.4,1414,13018,13256,-238,4248,394,846,26.804475498176203,17.29584495449905,1.236,0.1147,0.2462,0.4115,30.44,24815.0,69.8,82.8,65.2,54.9,25.6,18.15,2.2,2.3,2.25,3.633333333333333,4.533333333333333,4.083333333333333,51.53,위험도합성지수(Ridge),3.336,30.44,2.25,75.220991,0.2068710167128238,3636130000000.0,21.888837770987923
2017,부산,331244,13755,533,24.08,3.875,2459.0,343650.0,0.716,0.6,1.2,1199,11951,11682,269,4581,373,728,27.941231218755263,18.36604505360781,1.383,0.1126,0.2198,0.362,31.87,25650.0,73.0,82.1,74.7,57.7,27.6,17.69,,,,4.3,6.333333333333333,5.316666666666666,38.5,위험도합성지수(Ridge),3.453,31.87,3.049,103.0303075,0.2617659877997037,3935970000000.0,31.104052450761372
2018,부산,320463,13550,539,23.65,3.978,2679.0,331244.0,0.809,0.6,1.4,1365,11610,10572,1038,5152,383,745,29.12653749000747,19.25608796212252,1.608,0.1195,0.2325,0.4259,36.85,26464.0,70.3,77.9,71.3,56.8,27.6,17.37,,,,6.933333333333334,6.666666666666667,6.800000000000001,47.55,위험도합성지수(Ridge),3.863,36.85,3.9,75.4843157,0.18306950252955184,4123260000000.0,23.55476785151484
2019,부산,311059,13415,544,23.19,4.055,2857.0,320463.0,0.892,0.7,1.7,1450,10277,9591,686,5740,422,804,30.504878939596,20.23928728800209,1.845,0.1357,0.2585,0.4661,44.76,27577.0,75.9,84.4,72.4,62.9,31.6,17.14,,,,6.4,5.533333333333334,5.966666666666667,49.34,위험도합성지수(Ridge),4.514,44.76,3.422,81.4065146,0.16967714856817703,4797730000000.0,26.170763295709172
2020,부산,303849,13339,553,22.78,4.146,2609.0,311059.0,0.839,0.7,1.6,1256,10460,9880,580,6251,463,733,31.316785438629243,20.932129114247697,2.057,0.1524,0.2412,0.4134,45.6,27204.0,67.1,68.6,69.6,61.5,28.3,16.94,,,,8.966666666666667,9.633333333333333,9.3,55.84,위험도합성지수(Ridge),4.583,45.6,5.334,81.9053316,0.17313502299861333,4730720000000.0,26.95593258493528
2021,부산,302777,13383,558,22.62,4.169,1670.0,303849.0,0.55,0.4,1.1,780,12051,11673,378,6771,501,318,31.78349013485385,21.24535994390393,2.236,0.1655,0.105,0.2576,44.42,29395.0,77.4,84.0,76.5,64.5,36.9,16.56,,,,7.833333333333333,10.366666666666664,9.1,20.0,위험도합성지수(Ridge),4.486,44.42,5.219,314.4697214,0.6315020782334715,4979710000000.0,103.86182616248924
2022,부산,299960,13583,571,22.08,4.204,1960.0,302777.0,0.647,0.4,1.4,1042,10280,10020,260,7050,503,320,32.3648127025505,21.753388617639075,2.35,0.1677,0.1067,0.3474,49.1,31611.0,78.7,85.3,79.0,63.8,39.5,15.94,,,,11.1,10.766666666666666,10.933333333333334,24.64,위험도합성지수(Ridge),4.871,49.1,6.271,222.12341,0.4556062017609751,4875337718000.0,74.05101013468462
2023,부산,297085,13516,582,21.98,4.306,2496.0,299960.0,0.832,0.5,1.7,1162,9195,9071,124,7383,507,566,32.499827141299285,21.980466896126472,2.485,0.1707,0.1905,0.3911,56.87,31611.0,80.1,88.1,76.3,66.6,43.4,15.54,,,,9.366666666666667,11.300000000000002,10.333333333333336,31.45,위험도합성지수(Ridge),5.51,56.87,5.926,319.08753,0.5632134417735251,5665481438000.0,107.40613965700052
2024,부산,293544,13486,611,21.77,4.531,2554.0,297085.0,0.86,0.6,1.9,1336,10068,9872,196,7774,503,507,32.49961645398729,22.04298033787094,2.648,0.1714,0.1727,0.4551,60.63,31611.0,81.3,88.0,81.5,67.3,48.3,15.32,,,,9.999999999999998,9.466666666666669,9.733333333333333,37.64,위험도합성지수(Ridge),5.82,60.63,5.582,359.24838,0.6845628334392332,5247851073000.0,122.38314528656693
2013,서울,1107766,39326,1182,28.17,3.006,16126.0,1161632.0,1.388,1.3,1.9,6207,47419,43352,4067,8574,1323,8784,17.24896626510033,12.15668691167484,0.774,0.1194,0.7929,0.5603,45.36,34105.0,75.0,84.8,74.7,61.6,32.8,18.3,5.2,3.6,4.4,,,,87.16,위험도합성지수(Ridge),4.563,45.36,4.4,70.8572436,0.09000888386420655,7872250000000.0,6.396408952793279
2014,서울,1064741,38706,1198,27.51,3.095,14134.0,1107766.0,1.276,1.2,1.7,5416,41269,38029,3240,9831,1477,7667,17.978137118213294,12.914095002148647,0.923,0.1387,0.7201,0.5087,45.96,35113.0,74.4,84.3,73.3,61.3,33.5,17.94,6.166666666666666,3.9333333333333336,5.05,,,,79.42,위험도합성지수(Ridge),4.613,45.96,5.05,59.7064662,0.07712200257820513,7741820000000.0,5.6076046850830386
2015,서울,1022447,38262,1203,26.72,3.144,12384.0,1064741.0,1.163,1.0,1.5,4567,42026,39296,2730,11642,1435,7027,18.657179814923666,13.59609672669296,1.139,0.1403,0.6873,0.4467,45.5,37236.0,74.3,82.9,74.1,61.8,33.8,17.4,7.133333333333333,4.266666666666667,5.699999999999999,3.533333333333333,4.166666666666667,3.85,64.35,위험도합성지수(Ridge),4.575,45.5,5.7,50.1535375,0.06326247027882717,7927850000000.0,4.905245699777104
2016,서울,975589,37745,1213,25.85,3.214,11144.0,1022447.0,1.09,1.0,1.4,4032,39268,34632,4636,13762,1578,6595,19.29660430465005,14.394755928989488,1.411,0.1617,0.676,0.4133,49.15,39356.0,73.7,84.2,69.9,61.5,35.2,16.94,7.566666666666667,4.466666666666667,6.016666666666668,3.633333333333333,4.533333333333333,4.083333333333333,61.18,위험도합성지수(Ridge),4.875,49.15,6.017,21.2973269,0.025520726389466408,8345110000000.0,2.1830224510526466
2017,서울,938302,37397,1219,25.09,3.26,10950.0,975589.0,1.122,0.9,1.4,4180,38542,33009,5533,14947,1639,6171,20.22758460343956,15.166693188510928,1.593,0.1747,0.6577,0.4455,54.12,41374.0,77.6,86.5,76.0,65.5,39.1,16.58,,,,4.3,6.333333333333333,5.316666666666666,53.1,위험도합성지수(Ridge),5.284,54.12,7.852,33.8565582,0.03762241105717943,8999040000000.0,3.6082794452106035
2018,서울,900684,37125,1238,24.26,3.335,11546.0,938302.0,1.231,1.0,1.6,4399,35933,32624,3309,16023,1789,6280,21.37508554523564,16.063723116104278,1.779,0.1986,0.6972,0.4884,61.79,43664.0,79.9,89.5,74.8,68.3,41.1,16.21,,,,6.933333333333334,6.666666666666667,6.800000000000001,58.22,위험도합성지수(Ridge),5.915,61.79,10.043,40.0254084,0.041690701792395445,9600560000000.0,4.443890243415005
2019,서울,866395,36938,1276,23.46,3.454,11837.0,900684.0,1.314,1.1,1.8,4520,34692,28660,6032,17745,1786,6400,22.441958456344736,17.006343062191206,2.048,0.2061,0.7387,0.5217,68.15,45118.0,80.0,87.6,77.2,68.9,45.1,16.03,,,,6.4,5.533333333333334,5.966666666666667,63.86,위험도합성지수(Ridge),6.438,68.15,8.812,47.9494797,0.043717614606126914,10968000000000.0,5.534367084297578
2020,서울,840933,36673,1317,22.93,3.591,11886.0,866395.0,1.372,1.2,1.8,4236,33057,30858,2199,18121,1677,6494,23.18500572473556,17.669501821579498,2.155,0.1994,0.7722,0.5037,68.95,46221.0,75.0,77.1,76.0,70.1,45.3,15.84,,,,8.966666666666667,9.633333333333333,9.3,67.25,위험도합성지수(Ridge),6.504,68.95,13.735,162.9845086,0.153648807081715,10607600000000.0,19.381390503167317
2021,서울,825503,36153,1342,22.83,3.712,6418.0,840933.0,0.763,0.7,1.0,2299,36147,33267,2880,19195,1631,2932,23.546510870153806,18.11259292323292,2.325,0.1976,0.3552,0.2785,54.33,49680.0,81.5,87.6,78.4,73.4,52.9,15.67,,,,7.833333333333333,10.366666666666664,9.1,18.08,위험도합성지수(Ridge),5.301,54.33,13.44,774.0702183,0.6763392034076016,11445000000000.0,93.76952213377784
2022,서울,806340,35922,1390,22.45,3.869,9165.0,825503.0,1.11,0.8,1.6,3371,35702,30608,5094,19351,1645,4303,24.03351198780321,18.699176417664063,2.4,0.204,0.5336,0.4181,67.2,51612.0,84.3,91.2,80.7,75.0,59.6,15.33,,,,11.1,10.766666666666666,10.933333333333334,33.62,위험도합성지수(Ridge),6.36,67.2,16.147,573.50694,0.5416249925395129,10588635087000.0,71.12470421906391
2023,서울,784871,35204,1438,22.29,4.085,11902.0,806340.0,1.476,1.1,1.9,3902,28811,26810,2001,20173,1628,5646,24.59330178047887,19.284669720318465,2.57,0.2074,0.7194,0.4972,79.56,51612.0,84.8,91.3,81.9,75.5,62.8,14.96,,,,9.366666666666667,11.300000000000002,10.333333333333336,51.48,위험도합성지수(Ridge),7.377,79.56,15.261,1054.8721,0.8182681356488712,12891521178000.0,134.40069769427078
2024,서울,766206,34432,1478,22.25,4.293,12037.0,784871.0,1.534,1.1,2.0,4101,29189,28456,733,21000,1642,5386,24.856117445756613,19.48914380737168,2.741,0.2143,0.7029,0.5352,83.85,51612.0,86.1,93.1,85.1,74.7,67.3,14.98,,,,9.999999999999998,9.466666666666669,9.733333333333333,56.14,위험도합성지수(Ridge),7.73,83.85,14.375,314.57304,0.28186194015217897,11160536248000.0,41.055935348979254
2013,울산,162879,5766,212,28.25,3.677,1422.0,170293.0,0.835,0.7,1.6,795,5925,6028,-103,993,59,440,24.43926879584893,13.949877950188103,0.61,0.0362,0.2701,0.4881,8.06,62653.0,67.3,80.4,68.3,48.8,22.4,16.53,0.9666666666666668,1.5,1.2333333333333334,,,,57.88,위험도합성지수(Ridge),1.494,8.06,1.233,72.0326196,0.5294413953283255,1360540000000.0,44.224620485145415
2014,울산,156837,5799,219,27.05,3.777,1236.0,162879.0,0.759,0.6,1.4,700,5262,5227,35,1285,96,388,25.08020254139699,14.837251216396076,0.819,0.0612,0.2474,0.4463,12.34,60925.0,67.6,79.2,67.6,51.8,22.2,15.87,0.8833333333333333,1.3333333333333337,1.1083333333333334,,,,47.16,위험도합성지수(Ridge),1.846,12.34,1.108,55.2649519,0.38216020731336264,1446120000000.0,35.23719014008174
2015,울산,151314,5725,217,26.43,3.79,922.0,156837.0,0.588,0.5,1.0,448,6194,6182,12,1740,131,357,25.90478129845925,15.708554184426047,1.15,0.0866,0.2359,0.2961,14.22,62605.0,69.6,81.8,71.4,50.6,21.9,15.59,0.7999999999999999,1.1666666666666667,0.9833333333333334,3.533333333333333,4.166666666666667,3.85,32.02,위험도합성지수(Ridge),2.001,14.22,0.983,21.9741507,0.15862147879190366,1385320000000.0,14.522219160157025
2016,울산,145530,5643,215,25.79,3.81,758.0,151314.0,0.501,0.5,0.8,314,5165,4878,287,2207,134,338,27.980189950033783,16.782226649107585,1.517,0.0921,0.2323,0.2158,17.19,64021.0,68.1,81.3,61.3,54.2,23.9,15.1,0.9333333333333332,0.8000000000000002,0.8666666666666667,3.633333333333333,4.533333333333333,4.083333333333333,21.76,위험도합성지수(Ridge),2.245,17.19,0.867,32.4735959,0.22210546550120377,1462080000000.0,22.314021782450354
2017,울산,140877,5622,225,25.06,4.002,772.0,145530.0,0.53,0.4,0.9,379,4471,4032,439,2523,155,272,29.551623513170508,17.771068264455906,1.791,0.11,0.1931,0.269,22.08,65370.0,69.4,80.3,66.6,54.5,23.6,14.68,,,,4.3,6.333333333333333,5.316666666666666,23.05,위험도합성지수(Ridge),2.648,22.08,1.24,53.9152973,0.32650411072555396,1651290000000.0,38.271185005359285
2018,울산,136883,5577,233,24.54,4.178,751.0,140877.0,0.533,0.4,0.9,361,4715,4200,515,2792,169,249,31.270718976690272,18.71517925288622,2.04,0.1235,0.1819,0.2637,28.14,63793.0,73.3,83.0,69.7,59.2,26.5,14.31,,,,6.933333333333334,6.666666666666667,6.800000000000001,17.16,위험도합성지수(Ridge),3.146,28.14,1.586,51.6167683,0.30428494632530223,1696330000000.0,37.708676972304815
2019,울산,133313,5609,236,23.77,4.208,802.0,136883.0,0.586,0.4,1.1,404,3941,3348,593,3073,179,247,33.34696934791199,19.86065769540403,2.305,0.1343,0.1853,0.303,33.54,65112.0,73.0,79.9,71.1,60.6,27.4,13.97,,,,6.4,5.533333333333334,5.966666666666667,20.41,위험도합성지수(Ridge),3.591,33.54,1.391,17.2611254,0.09095957358234046,1897670000000.0,12.94781859233533
2020,울산,130585,5580,253,23.4,4.534,735.0,133313.0,0.551,0.4,1.0,319,5296,4859,437,3264,182,262,34.255451565214805,20.73363505034953,2.5,0.1394,0.2006,0.2443,35.44,60895.0,65.2,66.5,65.3,62.2,25.4,13.71,,,,8.966666666666667,9.633333333333333,9.3,23.46,위험도합성지수(Ridge),3.747,35.44,2.169,22.1892384,0.11632018452505766,1907600000000.0,16.992180112570356
2021,울산,130220,5603,268,23.24,4.783,455.0,130585.0,0.348,0.3,0.7,226,4146,3666,480,3542,214,102,34.58821719974265,20.942684310618034,2.72,0.1643,0.0783,0.1736,34.01,69392.0,73.7,79.4,73.9,61.0,30.0,13.52,,,,7.833333333333333,10.366666666666664,9.1,8.77,위험도합성지수(Ridge),3.629,34.01,2.122,106.4357404,0.5220406721469071,2038840000000.0,81.73532514206728
2022,울산,128973,5749,285,22.43,4.957,662.0,130220.0,0.508,0.3,1.0,302,3958,3298,660,3633,201,174,35.03584599939061,21.278159072261023,2.817,0.1558,0.1349,0.2342,37.68,77511.0,78.4,86.0,76.6,63.5,36.7,13.11,,,,11.1,10.766666666666666,10.933333333333334,6.45,위험도합성지수(Ridge),3.931,37.68,2.55,107.17389,0.5295094518742159,2024022227000.0,83.09792747319206
2023,울산,127872,5683,300,22.5,5.279,803.0,128973.0,0.623,0.4,1.3,354,3193,2760,433,3836,205,231,34.42869954818027,21.265727981694592,3.0,0.1603,0.1806,0.2768,41.88,77511.0,78.2,86.6,72.8,65.9,36.8,13.12,,,,9.366666666666667,11.300000000000002,10.333333333333336,18.98,위험도합성지수(Ridge),4.277,41.88,2.41,128.46564,0.5364987619080567,2394518853000.0,100.46424549549549
2024,울산,126110,5616,309,22.46,5.502,821.0,127872.0,0.642,0.3,1.4,415,4258,3949,309,4005,261,203,34.358047352716625,21.31417626519477,3.176,0.207,0.161,0.3291,50.17,77511.0,79.8,87.7,77.7,66.0,39.9,13.02,,,,9.999999999999998,9.466666666666669,9.733333333333333,27.12,위험도합성지수(Ridge),4.959,50.17,2.27,19.70815,0.08830098179061452,2231928751000.0,15.62774561890413
2013,인천,364004,13105,479,27.78,3.655,3328.0,376113.0,0.885,0.9,1.6,1668,17469,18680,-1211,2942,289,1020,19.829849845301144,13.112813372813363,0.808,0.0794,0.2802,0.4582,23.92,24526.0,65.3,77.4,63.1,49.4,20.8,17.37,1.9,2.1,2.0,,,,73.71,위험도합성지수(Ridge),2.799,23.92,2.0,96.2046463,0.36500467160651207,2635710000000.0,26.429557449918132
2014,인천,354743,13099,488,27.08,3.725,3035.0,364004.0,0.834,0.7,1.5,1501,15298,16122,-824,3662,348,1017,20.34083640907669,13.7649306270796,1.032,0.0981,0.2867,0.4231,27.67,26068.0,65.9,78.4,64.2,48.1,21.1,16.76,2.333333333333333,2.5,2.416666666666667,,,,65.21,위험도합성지수(Ridge),3.108,27.67,2.417,108.4672379,0.37453768745489513,2896030000000.0,30.576287030329
