연도,시도,위험도_pct,위험도_점수
2014,서울,4.6130367928977805,45.96
2015,서울,4.574793307459625,45.5
2016,서울,4.874541904667094,49.15
2017,서울,5.2839670147739595,54.12
2018,서울,5.9151759671997315,61.79
2019,서울,6.438135737992997,68.15
2020,서울,6.504269736865127,68.95
2021,서울,5.301166429715709,54.33
2022,서울,6.359573823161476,67.2
2023,서울,7.376503051867459,79.56
2024,서울,7.730398639756167,83.85
2012,울산,0.8312816434379986,0.0
2013,울산,1.4943679782122512,8.06
2014,울산,1.845964696731434,12.34
2015,울산,2.0005066624373375,14.22
2016,울산,2.2452870958148408,17.19
2017,울산,2.64797789825094,22.08
2018,울산,3.1457307102915593,28.14
2019,울산,3.590698774556632,33.54
2020,울산,3.7468919075049145,35.44
2021,울산,3.629039191919233,34.01
2022,울산,3.9312748910614994,37.68
2023,울산,4.276875539154975,41.88
2024,울산,4.95904607958105,50.17
2012,인천,2.189622258977719,16.52
2013,인천,2.798538879589827,23.92
2014,인천,3.1083836473585134,27.67
2015,인천,3.390598838816848,31.11
2016,인천,3.845661595875856,36.64
2017,인천,4.159335449505276,40.45
2018,인천,4.820902172293717,48.49
2019,인천,5.556838035904481,57.44
2020,인천,5.981490262160121,62.59
2021,인천,5.478127341011131,56.48
2022,인천,6.408443881903695,67.78
2023,인천,7.556771214818811,81.75
2024,인천,8.533686545543686,93.62
2012,전남,2.7774059573085603,23.65
2013,전남,3.5171626004390895,32.64
2014,전남,3.7247294079228572,35.17
2015,전남,4.07999845131363,39.49
2016,전남,4.7238020558622615,47.31
2017,전남,5.688351857610693,59.03
2018,전남,6.557377774940688,69.59
2019,전남,6.8943472265110985,73.69
2020,전남,7.324019079581388,78.91
2021,전남,7.0861134879962755,76.02
2022,전남,7.444544258641082,80.38
2023,전남,7.96392968800285,86.69
2024,전남,8.890277990560197,97.95
2012,전북,2.6899206761655376,22.59
2013,전북,3.2025449475444683,28.83
2014,전북,3.4891535302764076,32.3
2015,전북,3.738699732627397,35.34
2016,전북,4.198564181987292,40.93
2017,전북,4.647510985580531,46.39
2018,전북,5.02455608479324,50.97
2019,전북,5.674448710496349,58.86
2020,전북,6.137668840082201,64.5
2021,전북,5.992539757633043,62.74
2022,전북,6.696499435543689,71.28
2023,전북,7.487283022160051,80.89
2024,전북,8.063106052101558,87.89
2012,제주,1.8744523740765955,12.68
2013,제주,2.562158116265,21.04
2014,제주,2.946586746155196,25.72
2015,제주,3.3945299230513455,31.16
2016,제주,3.5892717891158785,33.52
2017,제주,4.220464890120857,41.19
2018,제주,4.630736581020782,46.18
2019,제주,5.283865074877635,54.12
2020,제주,5.853491341612506,61.04
2021,제주,6.09178059755648,63.94
2022,제주,6.899102656943507,73.75
2023,제주,7.851681642400546,85.33
2024,제주,9.05899391966344,100.0
2012,충남,1.5399403907764113,8.62
2013,충남,2.336665005606485,18.3
2014,충남,2.6558468869401914,22.18
2015,충남,2.950501685478263,25.77
2016,충남,3.4663252934123236,32.02
2017,충남,3.8178726930516866,36.3
2018,충남,4.74290822660676,47.54
2019,충남,5.413295688631852,55.69
2020,충남,5.945247420320769,62.15
2021,충남,5.953245519981971,62.25
2022,충남,6.612963913276504,70.27
2023,충남,7.4744071650036386,80.74
2024,충남,8.779041357514373,96.6
2012,충북,1.9001110900353844,12.99
2013,충북,2.6198239427239867,21.74
2014,충북,2.779226274099321,23.68
2015,충북,2.799842610217306,23.93
2016,충북,3.3050238540363757,30.07
2017,충북,3.7321725643773176,35.26
2018,충북,4.41873903849807,43.61
2019,충북,4.818496468598678,48.46
2020,충북,5.408247153699817,55.63
2021,충북,5.342601159865688,54.84
2022,충북,6.233788890908077,65.67
2023,충북,6.759862513966576,72.06
2024,충북,7.422002629362959,80.1
